timestamp,elapsed_ms,solved,iteration_count
2025-11-27T18:01:04.346607,1.7098,1,-1
2025-11-27T18:01:04.379117,1.6972,1,-1
2025-11-27T18:01:04.412975,2.8991,1,-1
2025-11-27T18:01:04.445445,2.4130,1,-1
2025-11-27T18:01:04.479075,2.5737,1,-1
2025-11-27T18:01:04.512195,2.3675,1,-1
2025-11-27T18:01:04.545806,2.4205,1,-1
2025-11-27T18:01:04.578830,2.3338,1,-1
2025-11-27T18:01:04.612138,2.2419,1,-1
2025-11-27T18:01:04.645096,1.8641,1,-1
2025-11-27T18:01:04.679755,3.1352,1,-1
2025-11-27T18:01:04.711618,2.0631,1,-1
2025-11-27T18:01:04.744815,1.8379,1,-1
2025-11-27T18:01:04.777968,1.6632,1,-1
2025-11-27T18:01:04.811549,2.0287,1,-1
2025-11-27T18:01:04.845322,2.5123,1,-1
2025-11-27T18:01:04.878295,1.9721,1,-1
2025-11-27T18:01:04.911976,2.3381,1,-1
2025-11-27T18:01:04.945462,2.4088,1,-1
2025-11-27T18:01:04.978794,2.3806,1,-1
2025-11-27T18:01:05.012685,2.8514,1,-1
2025-11-27T18:01:05.044992,1.8898,1,-1
2025-11-27T18:01:05.078588,2.2193,1,-1
2025-11-27T18:01:05.111227,1.5863,1,-1
2025-11-27T18:01:05.144907,1.8164,1,-1
2025-11-27T18:01:05.177977,1.6034,1,-1
2025-11-27T18:01:05.212432,2.6383,1,-1
2025-11-27T18:01:05.245438,2.2967,1,-1
2025-11-27T18:01:05.278108,1.6913,1,-1
2025-11-27T18:01:05.311580,1.7342,1,-1
2025-11-27T18:01:05.346040,2.3592,1,-1
2025-11-27T18:01:05.378965,1.7315,1,-1
2025-11-27T18:01:05.411647,1.5749,1,-1
2025-11-27T18:01:05.444848,1.6852,1,-1
2025-11-27T18:01:05.478050,1.5493,1,-1
2025-11-27T18:01:05.512001,2.0982,1,-1
2025-11-27T18:01:05.545823,2.6273,1,-1
2025-11-27T18:01:05.578560,1.9953,1,-1
2025-11-27T18:01:05.611324,1.4464,1,-1
2025-11-27T18:01:05.644907,1.7363,1,-1
2025-11-27T18:01:05.678124,1.6393,1,-1
2025-11-27T18:01:05.713868,3.8472,1,-1
2025-11-27T18:01:05.746118,2.8116,1,-1
2025-11-27T18:01:05.778521,1.9593,1,-1
2025-11-27T18:01:05.811812,1.8155,1,-1
2025-11-27T18:01:05.844846,1.5948,1,-1
2025-11-27T18:01:05.878192,1.5669,1,-1
2025-11-27T18:01:05.911875,1.7694,1,-1
2025-11-27T18:01:05.945035,1.7210,1,-1
2025-11-27T18:01:05.980151,3.0921,1,-1
2025-11-27T18:01:06.011952,1.8122,1,-1
2025-11-27T18:01:06.045264,1.7219,1,-1
2025-11-27T18:01:06.079184,2.3146,1,-1
2025-11-27T18:01:06.112065,1.8129,1,-1
2025-11-27T18:01:06.145271,1.8459,1,-1
2025-11-27T18:01:06.179306,2.2146,1,-1
2025-11-27T18:01:06.212445,2.1503,1,-1
2025-11-27T18:01:06.245213,1.7764,1,-1
2025-11-27T18:01:06.278468,1.6254,1,-1
2025-11-27T18:01:06.312803,2.5433,1,-1
2025-11-27T18:01:06.345336,1.8291,1,-1
2025-11-27T18:01:06.380583,3.4651,1,-1
2025-11-27T18:01:06.413630,3.2647,1,-1
2025-11-27T18:01:06.446448,2.2329,1,-1
2025-11-27T18:01:06.479690,2.1511,1,-1
2025-11-27T18:01:06.511733,1.4321,1,-1
2025-11-27T18:01:06.545457,1.7997,1,-1
2025-11-27T18:01:06.578893,1.9067,1,-1
2025-11-27T18:01:06.612519,1.9390,1,-1
2025-11-27T18:01:06.645428,1.7407,1,-1
2025-11-27T18:01:06.679915,2.1272,1,-1
2025-11-27T18:01:06.712343,1.6328,1,-1
2025-11-27T18:01:06.747669,2.2957,1,-1
2025-11-27T18:01:06.779163,1.5750,1,-1
2025-11-27T18:01:06.813320,2.0420,1,-1
